 num     #instances         #bytes  class name (module)
 148:           116           6496  java.io.FileCleanable (java.base@11.0.8)
 149:           135           6480  java.util.Hashtable (java.base@11.0.8)
 150:            91           6440  [Ljavax.management.MBeanOperationInfo; (java.management@11.0.8)
 151:            89           6408  java.beans.PropertyDescriptor (java.desktop@11.0.8)
 152:           263           6312  java.lang.Class$AnnotationData (java.base@11.0.8)
 153:           263           6312  java.lang.Long (java.base@11.0.8)
 154:           263           6312  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 155:           263           6312  org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder
 156:           258           6192  org.apache.qpid.proton.amqp.UnsignedLong
 157:           256           6144  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.8)
 158:           250           6000  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@11.0.8)
 159:           107           5992  java.lang.Module (java.base@11.0.8)
 160:           185           5920  io.netty.util.concurrent.DefaultPromise
 161:           182           5824  java.util.concurrent.CountDownLatch$Sync (java.base@11.0.8)
 162:           145           5800  org.apache.activemq.artemis.core.server.impl.RefsOperation
 163:           239           5736  java.util.concurrent.atomic.AtomicLong (java.base@11.0.8)
 164:           142           5680  org.apache.activemq.artemis.core.journal.impl.JournalImpl$8
 165:           118           5664  java.util.TreeMap (java.base@11.0.8)
 166:           225           5400  org.apache.logging.log4j.core.config.plugins.util.PluginType
 167:           111           5328  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.8)
 168:           165           5280  org.apache.activemq.artemis.api.core.SimpleString
 169:           327           5232  io.netty.util.collection.IntObjectHashMap$1
 170:           327           5232  io.netty.util.collection.IntObjectHashMap$EntrySet
 171:           327           5232  io.netty.util.collection.IntObjectHashMap$KeySet
 172:           130           5200  org.eclipse.jetty.io.ByteBufferPool$Bucket
 173:           160           5120  io.netty.handler.codec.CodecOutputList
 174:            80           5120  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.8)
 175:           211           5064  java.util.zip.Inflater$InflaterZStreamRef (java.base@11.0.8)
 176:           105           5040  jdk.internal.loader.URLClassPath$JarLoader (java.base@11.0.8)
 177:           153           4896  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@11.0.8)
 178:           203           4872  java.util.concurrent.ConcurrentLinkedQueue (java.base@11.0.8)
 179:           256           4840  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.8)
 180:           121           4840  java.io.FileDescriptor (java.base@11.0.8)
 181:           100           4800  javax.management.MBeanInfo (java.management@11.0.8)
 182:           294           4704  org.eclipse.jetty.util.thread.AutoLock
 183:           293           4688  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.8)
 184:           145           4640  org.apache.activemq.artemis.core.protocol.core.ServerSessionPacketHandler$1
 185:           192           4608  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry (java.xml@11.0.8)
 186:           144           4608  java.io.File (java.base@11.0.8)
 187:           114           4560  java.math.BigInteger (java.base@11.0.8)
 188:           187           4488  java.util.ArrayDeque (java.base@11.0.8)
 189:           110           4400  java.security.ProtectionDomain (java.base@11.0.8)
 190:           182           4368  java.time.LocalDate (java.base@11.0.8)
 191:           136           4352  org.eclipse.jetty.util.IncludeExcludeSet
 192:           180           4320  io.netty.channel.unix.FileDescriptor
 193:           180           4320  io.netty.util.internal.ThreadExecutorMap$1
 194:           108           4320  java.lang.ref.Finalizer (java.base@11.0.8)
 195:           108           4320  java.security.CodeSource (java.base@11.0.8)
 196:           180           4320  java.util.Collections$SetFromMap (java.base@11.0.8)
 197:           268           4288  java.util.HashSet (java.base@11.0.8)
 198:           133           4256  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.8)
 199:           262           4192  org.apache.logging.log4j.message.ParameterizedMessageFactory
 200:           259           4144  java.lang.Byte (java.base@11.0.8)
 201:           259           4144  java.lang.Short (java.base@11.0.8)
 202:           258           4128  org.apache.qpid.proton.amqp.UnsignedInteger
 203:           103           4120  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 204:           257           4112  org.apache.qpid.proton.amqp.UnsignedShort
 205:           171           4104  java.util.ImmutableCollections$SetN (java.base@11.0.8)
 206:           256           4096  org.apache.qpid.proton.amqp.UnsignedByte
 207:           254           4064  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.8)
 208:           168           4032  org.eclipse.jetty.util.component.ContainerLifeCycle$Bean
 209:            40           4000  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 210:           166           3984  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.8)
 211:            98           3920  java.io.ObjectStreamField (java.base@11.0.8)
 212:            61           3904  java.lang.module.ModuleDescriptor (java.base@11.0.8)
 213:            80           3840  org.eclipse.jetty.http.HttpHeader
 214:            24           3648  io.netty.buffer.PoolArena$DirectArena
 215:            24           3648  io.netty.buffer.PoolArena$HeapArena
 216:           166           3608  [Ljava.lang.reflect.Type; (java.base@11.0.8)
 217:            45           3600  sun.net.www.protocol.jar.URLJarFile (java.base@11.0.8)
 218:           112           3584  java.io.RandomAccessFile (java.base@11.0.8)
 219:            88           3520  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.8)
 220:           145           3480  java.util.Collections$SingletonList (java.base@11.0.8)
 221:           144           3456  org.apache.activemq.artemis.core.transaction.impl.TransactionImpl$2
 222:           142           3408  org.apache.activemq.artemis.core.persistence.impl.journal.codec.RefEncoding
 223:           105           3360  java.util.zip.ZipFile$CleanableResource (java.base@11.0.8)
 224:            60           3360  jdk.internal.module.ModuleReferenceImpl (java.base@11.0.8)
 225:           164           3288  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@11.0.8)
 226:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByClass
 227:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByLocationOrModule
 228:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByModule
 229:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByPackageOrName
 230:            81           3240  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.8)
 231:            80           3200  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@11.0.8)
 232:           200           3200  com.sun.proxy.$Proxy14
 233:            99           3168  java.util.logging.LogManager$LogNode (java.logging@11.0.8)
 234:            36           3168  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.8)
 235:           196           3136  java.util.Collections$SingletonSet (java.base@11.0.8)
 236:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@11.0.8)
 237:            77           3080  com.sun.beans.introspect.PropertyInfo (java.desktop@11.0.8)
 238:           191           3056  java.util.LinkedHashSet (java.base@11.0.8)
 239:           190           3040  com.sun.proxy.$Proxy31
 240:           190           3040  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.8)
 241:           113           2992  [Ljavax.management.ObjectName$Property; (java.management@11.0.8)
 242:            93           2976  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.8)
 243:           182           2912  java.util.concurrent.CountDownLatch (java.base@11.0.8)
 244:           180           2880  io.netty.channel.kqueue.KQueueEventLoop$1
 245:           180           2880  java.lang.ThreadLocal (java.base@11.0.8)
 246:           178           2848  java.util.Collections$UnmodifiableSet (java.base@11.0.8)
 247:           118           2832  javax.management.ObjectName$Property (java.management@11.0.8)
